Rule,Lift_Leave,Lift_Stay,Lift_Gap,Direction
"MonthlyIncome_Low_Income, TotalWorkingYears_Junior",3.7889638470852804,2.347177514328335,1.4417863327569456,→ Nghỉ việc
"MonthlyIncome_Low_Income, YearsAtCompany_Short_Tenure",4.6289095519864745,3.1970495258166487,1.4318600261698258,→ Nghỉ việc
"MonthlyIncome_Low_Income, TotalWorkingYears_Junior, YearsAtCompany_Short_Tenure",2.3842905037662736,1.0,1.3842905037662736,→ Nghỉ việc
"TotalWorkingYears_Junior, YearsAtCompany_Short_Tenure",3.625529661016949,2.2957021791767556,1.3298274818401934,→ Nghỉ việc
OverTime_Yes,2.0469497607655502,1.033772220864038,1.0131775399015122,→ Nghỉ việc
"OverTime_Yes, WorkLifeBalance_3",1.7975315126050422,1.0,0.7975315126050422,→ Nghỉ việc
"Department_Research & Development, OverTime_Yes",1.6917943648047453,1.0,0.6917943648047453,→ Nghỉ việc
MaritalStatus_Single,1.5776289374100592,1.1772340024700145,0.40039493494004463,→ Nghỉ việc
YearsAtCompany_Short_Tenure,2.9433739149130584,2.602672156812284,0.3407017581007743,→ Nghỉ việc
TotalWorkingYears_Junior,3.958649606014603,3.7143202709240444,0.24432933509055843,→ Nghỉ việc
JobSatisfaction_Low_Satisfaction,1.22206795761783,1.1172479694218824,0.10481998819594751,→ Nghỉ việc
"OverTime_Yes, TotalWorkingYears_Senior-Level",1.0,1.0001150218541524,-0.00011502185415235289,Trung tính
"Department_Research & Development, JobSatisfaction_High_Satisfaction, MonthlyIncome_Low_Income, YearsAtCompany_Short_Tenure",1.0,1.0003653635367191,-0.00036536353671912103,Trung tính
"EnvironmentSatisfaction_4, WorkLifeBalance_2",1.0,1.0009661835748793,-0.0009661835748793202,Trung tính
"Department_Sales, TotalWorkingYears_Senior-Level",1.0,1.0009661835748793,-0.0009661835748793202,Trung tính
"Age_Middle-Aged, DistanceFromHome_Medium, JobSatisfaction_Low_Satisfaction",1.0,1.001809812890998,-0.0018098128909980193,Trung tính
"Department_Sales, DistanceFromHome_Medium, JobRole_Sales Executive, TotalWorkingYears_Mid-Level",1.0,1.00204948031035,-0.002049480310349905,Trung tính
"MonthlyIncome_High_Income, OverTime_Yes, WorkLifeBalance_3",1.0,1.00204948031035,-0.002049480310349905,Trung tính
"Age_Young, Department_Research & Development, MonthlyIncome_Low_Income, OverTime_No",1.0,1.0029522275899088,-0.0029522275899087624,Trung tính
"Age_Middle-Aged, MonthlyIncome_Low_Income, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0034748707517587,-0.003474870751758674,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0039687068101995,-0.003968706810199452,Trung tính
"Department_Sales, JobRole_Sales Executive, MonthlyIncome_Mid_Income, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0041795581609945,-0.004179558160994468,Trung tính
"DistanceFromHome_Far, MaritalStatus_Married, TotalWorkingYears_Mid-Level",1.0,1.0041795581609945,-0.004179558160994468,Trung tính
"Department_Sales, DistanceFromHome_Medium, WorkLifeBalance_3",1.0,1.004704619367876,-0.004704619367875917,Trung tính
"MaritalStatus_Single, MonthlyIncome_Mid_Income, WorkLifeBalance_3",1.0,1.004704619367876,-0.004704619367875917,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_Low_Satisfaction, YearsAtCompany_Mid_Tenure",1.0,1.004704619367876,-0.004704619367875917,Trung tính
"Department_Research & Development, MonthlyIncome_Low_Income, OverTime_No, TotalWorkingYears_Junior",1.0,1.005110971084506,-0.0051109710845060885,Trung tính
"Age_Young, EnvironmentSatisfaction_4",1.0,1.005143436685019,-0.005143436685018932,Trung tính
"Department_Sales, EnvironmentSatisfaction_4, JobRole_Sales Executive",1.0,1.0054347826086958,-0.005434782608695787,Trung tính
"Age_Middle-Aged, Department_Research & Development, OverTime_Yes, WorkLifeBalance_3",1.0,1.0062623009482914,-0.006262300948291388,Trung tính
"EnvironmentSatisfaction_1, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0062623009482914,-0.006262300948291388,Trung tính
"Age_Young, Department_Research & Development, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0065193940246706,-0.006519394024670611,Trung tính
"DistanceFromHome_Far, MonthlyIncome_High_Income",1.0,1.007465963987703,-0.00746596398770305,Trung tính
"Department_Research & Development, TotalWorkingYears_Mid-Level, YearsAtCompany_Short_Tenure",1.0,1.007465963987703,-0.00746596398770305,Trung tính
"Department_Research & Development, DistanceFromHome_Near, JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0082992691688344,-0.008299269168834389,Trung tính
"DistanceFromHome_Near, JobSatisfaction_High_Satisfaction, MaritalStatus_Single, OverTime_No",1.0,1.0082992691688344,-0.008299269168834389,Trung tính
"Age_Middle-Aged, Department_Research & Development, JobRole_Research Scientist, MonthlyIncome_Low_Income",1.0,1.0092346117190838,-0.009234611719083796,Trung tính
"Age_Young, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0094947069736986,-0.009494706973698586,Trung tính
"Age_Middle-Aged, DistanceFromHome_Far, WorkLifeBalance_3",1.0,1.009839833369245,-0.009839833369245099,Trung tính
"Department_Sales, MonthlyIncome_High_Income, YearsAtCompany_Mid_Tenure",1.0,1.0102919554715397,-0.010291955471539715,Trung tính
"Department_Research & Development, WorkLifeBalance_4",1.0,1.0102919554715397,-0.010291955471539715,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_Low_Satisfaction, MaritalStatus_Married",1.0,1.0102919554715397,-0.010291955471539715,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction",1.0,1.010754543363239,-0.010754543363239,Trung tính
"Age_Middle-Aged, Department_Research & Development, MonthlyIncome_Low_Income, YearsAtCompany_Mid_Tenure",1.0,1.0110769531059387,-0.011076953105938703,Trung tính
"Department_Sales, JobRole_Sales Executive, MonthlyIncome_High_Income, OverTime_No",1.0,1.0117582718074924,-0.011758271807492449,Trung tính
"DistanceFromHome_Medium, JobSatisfaction_Low_Satisfaction, WorkLifeBalance_3",1.0,1.011936712419804,-0.011936712419803985,Trung tính
"Department_Research & Development, JobRole_Laboratory Technician, JobSatisfaction_High_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0122417883053696,-0.012241788305369594,Trung tính
"Department_Research & Development, EnvironmentSatisfaction_4, JobRole_Research Scientist",1.0,1.0122417883053696,-0.012241788305369594,Trung tính
"Department_Research & Development, DistanceFromHome_Medium, MonthlyIncome_Low_Income",1.0,1.0123119015047881,-0.012311901504788114,Trung tính
"DistanceFromHome_Near, MaritalStatus_Single, OverTime_No",1.0,1.0123444868266462,-0.01234448682664624,Trung tính
"Department_Research & Development, DistanceFromHome_Near, MaritalStatus_Single, OverTime_No",1.0,1.0128824476650564,-0.012882447665056418,Trung tính
"EnvironmentSatisfaction_4, YearsAtCompany_Short_Tenure",1.0,1.013114281596772,-0.01311428159677197,Trung tính
"JobSatisfaction_High_Satisfaction, MonthlyIncome_Low_Income, TotalWorkingYears_Mid-Level, WorkLifeBalance_3",1.0,1.0135672904288597,-0.013567290428859735,Trung tính
"Department_Research & Development, JobRole_Laboratory Technician, JobSatisfaction_High_Satisfaction, WorkLifeBalance_3",1.0,1.0141501353342242,-0.014150135334224156,Trung tính
"Age_Middle-Aged, JobSatisfaction_Low_Satisfaction, MonthlyIncome_High_Income",1.0,1.014652189856667,-0.014652189856666942,Trung tính
"Age_Middle-Aged, Department_Sales, DistanceFromHome_Near",1.0,1.014652189856667,-0.014652189856666942,Trung tính
"Department_Sales, EnvironmentSatisfaction_3, WorkLifeBalance_3",1.0,1.015590689503733,-0.01559068950373299,Trung tính
"Age_Young, JobSatisfaction_High_Satisfaction, MaritalStatus_Married",1.0,1.015590689503733,-0.01559068950373299,Trung tính
"DistanceFromHome_Near, JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level, WorkLifeBalance_3",1.0,1.015590689503733,-0.01559068950373299,Trung tính
"DistanceFromHome_Near, MaritalStatus_Married, YearsAtCompany_Short_Tenure",1.0,1.0160183066361557,-0.016018306636155666,Trung tính
"JobSatisfaction_Low_Satisfaction, MonthlyIncome_High_Income, YearsAtCompany_Mid_Tenure",1.0,1.0160183066361557,-0.016018306636155666,Trung tính
"DistanceFromHome_Near, JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0160183066361557,-0.016018306636155666,Trung tính
"JobSatisfaction_High_Satisfaction, MaritalStatus_Single, WorkLifeBalance_3, YearsAtCompany_Mid_Tenure",1.0,1.0160183066361557,-0.016018306636155666,Trung tính
"JobSatisfaction_High_Satisfaction, MaritalStatus_Single, TotalWorkingYears_Mid-Level, WorkLifeBalance_3",1.0,1.0163872312209907,-0.016387231220990728,Trung tính
"EnvironmentSatisfaction_1, YearsAtCompany_Mid_Tenure",1.0,1.0164835164835164,-0.016483516483516425,Trung tính
"Department_Sales, DistanceFromHome_Medium, YearsAtCompany_Mid_Tenure",1.0,1.0175686189364743,-0.017568618936474323,Trung tính
"DistanceFromHome_Medium, MonthlyIncome_Mid_Income, OverTime_No, TotalWorkingYears_Mid-Level",1.0,1.0175686189364743,-0.017568618936474323,Trung tính
"Age_Young, Department_Research & Development, WorkLifeBalance_3",1.0,1.0177740160812527,-0.01777401608125273,Trung tính
"EnvironmentSatisfaction_3, JobSatisfaction_Low_Satisfaction, TotalWorkingYears_Mid-Level",1.0,1.0178475577026302,-0.017847557702630246,Trung tính
"Age_Middle-Aged, Department_Research & Development, DistanceFromHome_Medium, YearsAtCompany_Mid_Tenure",1.0,1.0178475577026302,-0.017847557702630246,Trung tính
"Age_Middle-Aged, Department_Sales, JobRole_Sales Executive, MonthlyIncome_High_Income",1.0,1.0178475577026302,-0.017847557702630246,Trung tính
"DistanceFromHome_Medium, MaritalStatus_Married, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0178475577026302,-0.017847557702630246,Trung tính
"Department_Research & Development, MonthlyIncome_Low_Income, TotalWorkingYears_Mid-Level, YearsAtCompany_Mid_Tenure",1.0,1.0181678305124866,-0.018167830512486605,Trung tính
"Department_Sales, DistanceFromHome_Near, JobRole_Sales Executive, TotalWorkingYears_Mid-Level",1.0,1.0195025943818214,-0.019502594381821448,Trung tính
"Age_Young, JobSatisfaction_High_Satisfaction, MonthlyIncome_Low_Income",1.0,1.0197215362038727,-0.019721536203872736,Trung tính
